pattern,pattern_tiles,pattern_connection,time_elapsed,spring_index,spring_type,last_impulse,last_force
ammannbeenker,72,hamiltonian,0.1,33,hull,-1.5528591263312415,-388.21478158281036
ammannbeenker,72,hamiltonian,0.1,34,hull,-0.6545987318753691,-163.64968296884228
ammannbeenker,72,hamiltonian,0.1,35,hull,-3.4432676144987537,-860.8169036246884
ammannbeenker,72,hamiltonian,0.1,36,hull,-6.958733707512156,-1739.683426878039
ammannbeenker,72,hamiltonian,0.1,37,hull,-1.090363562946557,-272.5908907366392
ammannbeenker,72,hamiltonian,0.1,38,hull,-11.343957087464146,-2835.9892718660362
ammannbeenker,72,hamiltonian,0.1,39,hull,1.4236128273134783,355.90320682836955
ammannbeenker,72,hamiltonian,0.1,40,hull,-4.690316534199311,-1172.5791335498277
ammannbeenker,72,hamiltonian,0.1,41,hull,6.065708024430104,1516.427006107526
ammannbeenker,72,hamiltonian,0.1,42,hull,20.22898628797141,5057.246571992852
ammannbeenker,72,hamiltonian,0.1,43,hull,8.979046803484819,2244.7617008712045
ammannbeenker,72,hamiltonian,0.1,44,hull,-10.965695004752368,-2741.423751188092
ammannbeenker,72,hamiltonian,0.1,45,hull,12.30173473353306,3075.433683383265
ammannbeenker,72,hamiltonian,0.1,46,hull,33.45829991070771,8364.574977676926
ammannbeenker,72,hamiltonian,0.1,47,hull,12.407419253610362,3101.8548134025905
ammannbeenker,72,hamiltonian,0.1,48,hull,-1.791586687178915,-447.8966717947287
ammannbeenker,72,hamiltonian,0.1,49,hull,12.3914253242394,3097.8563310598497
ammannbeenker,72,hamiltonian,0.1,50,hull,11.334986596890092,2833.746649222523
ammannbeenker,72,hamiltonian,0.1,51,hull,9.46106236328402,2365.265590821005
ammannbeenker,72,hamiltonian,0.1,52,hull,-2.5647873123334346,-641.1968280833586
ammannbeenker,72,hamiltonian,0.1,53,hull,-4.184164540026657,-1046.0411350066643
ammannbeenker,72,hamiltonian,0.1,54,hull,6.29030202399492,1572.57550599873
ammannbeenker,72,hamiltonian,0.1,55,hull,8.823089757925219,2205.772439481305
ammannbeenker,72,hamiltonian,0.1,56,hull,-2.3341435121950087,-583.5358780487521
ammannbeenker,72,hamiltonian,0.1,57,hull,1.2580316241761487,314.50790604403716
ammannbeenker,72,hamiltonian,0.1,58,hull,8.6529339102281,2163.233477557025
ammannbeenker,72,hamiltonian,0.1,59,hull,4.038444018211167,1009.6110045527918
ammannbeenker,72,hamiltonian,0.1,60,hull,-4.857124333239002,-1214.2810833097506
ammannbeenker,72,hamiltonian,0.1,61,hull,2.8129939301678997,703.2484825419749
ammannbeenker,72,hamiltonian,0.1,62,hull,15.584919496942781,3896.229874235695
ammannbeenker,72,hamiltonian,0.1,63,hull,3.6853244517240515,921.3311129310129
ammannbeenker,72,hamiltonian,0.1,64,hull,-3.8140621084631525,-953.5155271157881
ammannbeenker,72,hamiltonian,0.1,65,hull,14.42964085292716,3607.41021323179
ammannbeenker,72,hamiltonian,0.1,66,hull,27.442716519640282,6860.6791299100705
ammannbeenker,72,hamiltonian,0.1,67,hull,5.095692526382862,1273.9231315957156
ammannbeenker,72,hamiltonian,0.1,68,hull,-5.907882344401557,-1476.9705861003893
ammannbeenker,72,hamiltonian,0.1,69,hull,11.312541487493151,2828.1353718732876
ammannbeenker,72,hamiltonian,0.1,70,hull,27.52123142184272,6880.30785546068
ammannbeenker,72,hamiltonian,0.1,71,hull,8.504076752616095,2126.0191881540236
ammannbeenker,72,hamiltonian,0.2,0,hull,-11.948670688465858,-2987.1676721164645
ammannbeenker,72,hamiltonian,0.2,1,hull,-15.290818996459516,-3822.7047491148787
ammannbeenker,72,hamiltonian,0.2,2,hull,-15.198151215313652,-3799.537803828413
ammannbeenker,72,hamiltonian,0.2,3,hull,-19.585728995595247,-4896.432248898812
ammannbeenker,72,hamiltonian,0.2,4,hull,-15.50815866464764,-3877.0396661619097
ammannbeenker,72,hamiltonian,0.2,5,hull,-16.79570723222293,-4198.926808055732
ammannbeenker,72,hamiltonian,0.2,6,hull,-13.938493200143421,-3484.623300035855
