122.328 418.800 148.874 369.728 099.543 343.106 072.997 392.178
072.997 392.178 063.407 408.598 139.313 427.820
122.328 418.800 139.313 427.820 158.410 352.166
148.874 369.728 158.410 352.166 081.974 333.590
099.543 343.106 081.974 333.590 063.407 408.598
063.407 408.598 055.154 436.446 166.328 436.446
139.313 427.820 166.328 436.446 166.328 325.417
158.410 352.166 166.328 325.417 055.154 325.417
081.974 333.590 055.154 325.417 055.154 436.446 
122.328	529.828	148.874	480.756	099.543	454.134	72.997	503.206
072.997	503.206	063.407	519.626	139.313	538.848		
122.328	529.828	139.313	538.848	158.410	463.194		
148.874	480.756	158.410	463.194	081.974	444.618		
099.543	454.134	081.974	444.618	063.407	519.626		
063.407	519.626	055.154	547.474	166.328	547.474		
139.313	538.848	166.328	547.474	166.328	436.445		
158.410	463.194	166.328	436.445	055.154	436.445		
081.974	444.618	055.154	436.445	055.154	547.474		
233.502	529.828	260.048	480.756	210.717	454.134	184.171	503.206
184.171	503.206	174.581	519.626	250.487	538.848		
233.502	529.828	250.487	538.848	269.584	463.194		
260.048	480.756	269.584	463.194	193.148	444.618		
210.717	454.134	193.148	444.618	174.581	519.626		
174.581	519.626	166.328	547.474	277.502	547.474		
250.487	538.848	277.502	547.474	277.502	436.445		
269.584	463.194	277.502	436.445	166.328	436.445		
193.148	444.618	166.328	436.445	166.328	547.474		
233.502	418.800	260.048	369.728	210.717	343.106	184.171	392.178
184.171	392.178	174.581	408.598	250.487	427.82		
233.502	418.800	250.487	427.820	269.584	352.166		
260.048	369.728	269.584	352.166	193.148	333.59		
210.717	343.106	193.148	333.590	174.581	408.598		
174.581	408.598	166.328	436.446	277.502	436.446		
250.487	427.820	277.502	436.446	277.502	325.417		
269.584	352.166	277.502	325.417	166.328	325.417		
193.148	333.590	166.328	325.417	166.328	436.446		
