1	4	2	1
2	4	3	1
3	4	4	1
4	4	5	1
5	4	1	1
6	1	5	3
6	4	1	2
7	1	1	3
7	4	2	2
8	1	2	3
8	4	3	2
9	1	3	3
9	4	4	2
10	1	4	3
10	4	5	2
6	2	12	4
6	3	14	1
7	2	15	4
7	3	17	1
8	2	18	4
8	3	20	1
9	2	21	4
9	3	23	1
10	2	24	4
10	3	11	1
11	2	25	4
11	3	26	4
11	4	12	1
12	2	27	1
12	3	13	1
13	2	27	4
13	3	28	1
13	4	14	2
14	3	28	4
14	4	15	1
15	2	29	1
15	3	16	1
16	2	29	4
16	3	30	1
16	4	17	2
17	3	30	4
17	4	18	1
18	2	31	1
18	3	19	1
19	2	31	4
19	3	32	1
19	4	20	2
20	3	32	4
20	4	21	1
21	2	33	1
21	3	22	1
22	2	33	4
22	3	34	1
22	4	23	2
23	3	34	4
23	4	24	1
24	2	35	1
24	3	25	1
25	2	35	4
25	3	26	1
25	4	11	2
26	2	37	4
26	3	38	4
27	2	40	1
27	3	41	1
28	2	42	4
28	3	43	4
29	2	45	1
29	3	46	1
30	2	47	4
30	3	48	4
31	2	50	1
31	3	51	1
32	2	52	4
32	3	53	4
33	2	55	1
33	3	56	1
34	2	57	4
34	3	58	4
35	2	60	1
35	3	36	1
36	2	60	4
37	1	36	4
38	1	37	3
39	1	38	3
40	2	39	4
41	2	40	4
42	1	41	4
43	1	42	3
44	1	43	3
45	2	44	4
46	2	45	4
47	1	46	4
48	1	47	3
49	1	48	3
50	2	49	4
51	2	50	4
52	1	51	4
53	1	52	3
54	1	53	3
55	2	54	4
56	2	55	4
57	1	56	4
58	1	57	3
59	1	58	3
60	2	59	4
