1	3	6	2
2	3	8	2
3	3	10	2
4	3	12	2
5	2	6	1
7	2	8	1
9	2	10	1
11	2	12	1
6	3	7	4
8	3	9	4
10	3	11	4
6	4	13	1
8	4	14	1
10	4	15	1
12	4	16	1
13	3	18	2
14	3	20	2
15	3	22	2
16	3	24	2
17	2	18	1
19	2	20	1
21	2	22	1
23	2	24	1
18	3	19	4
20	3	21	4
22	3	23	4
18	4	25	1
20	4	26	1
22	4	27	1
24	4	28	1
25	3	30	2
26	3	32	2
27	3	34	2
28	3	36	2
29	2	30	1
31	2	32	1
33	2	34	1
35	2	36	1
30	3	31	4
32	3	33	4
34	3	35	4
30	4	37	1
32	4	38	1
34	4	39	1
36	4	40	1
37	3	42	2
38	3	44	2
39	3	46	2
40	3	48	2
41	2	42	1
43	2	44	1
45	2	46	1
47	2	48	1
42	3	43	4
44	3	45	4
46	3	47	4
