1	1	8	4
2	1	1	4  
3	1	2	4
4	1	3	4
5	1	4	4
6	1	5	4
7	1	6	4
8	1	7	4
9	1	8	3
1	2	9	4
1	3	10	1
2	2	10	4
2	3	11	1
3	2	11	4
3	3	12	1
4	2	12	4
4	3	13	1
5	2	13	4
5	3	14	1
6	2	14	4
6	3	15	1
7	2	15	4
7	3	16	1
8	2	16	4
8	3	9	1
9	2	17	4
9	3	18	1
10	2	18	4
10	3	19	1
11	2	19	4
11	3	20	1
12	2	20	4
12	3	21	1
13	2	21	4
13	3	22	1
14	2	22	4
14	3	23	1
15	2	23	4
15	3	24	1
16	2	24	4
16	3	17	1
17	2	26	1
17	3	27	1
18	2	28	1
18	3	29	1
19	2	30	1
19	3	31	1
20	2	32	1
20	3	33	1
21	2	34	1
21	3	35	1
22	2	36	1
22	3	37	1
23	2	38	1
23	3	39	1
24	2	40	1
24	3	25	1
41	1	40	4
41	4	25	2
45	1	26	4
45	4	27	2
49	1	28	4
49	4	29	2
53	1	30	4
53	4	31	2
57	1	32	4
57	4	33	2
61	1	34	4
61	4	35	2
65	1	36	4
65	4	37	2
69	1	38	4
69	4	39	2
26	2	25	4
28	2	27	4
30	2	29	4
32	2	31	4
34	2	33	4
36	2	35	4
38	2	37	4
40	2	39	4
42	1	25	3
44	4	26	3
46	1	27	3
48	4	28	3
50	1	29	3
52	4	30	3
54	1	31	3
56	4	32	3
58	1	33	3
60	4	34	3
62	1	35	3
64	4	36	3
66	1	37	3
68	4	38	3
70	1	39	3
72	4	40	3
41	2	72	3
42	2	41	3
43	1	42	4
44	1	43	4
45	2	44	3
46	2	45	3
47	1	46	4
48	1	47	4
49	2	48	3
50	2	49	3
51	1	50	4
52	1	51	4
53	2	52	3
54	2	53	3
55	1	54	4
56	1	55	4
57	2	56	3
58	2	57	3
59	1	58	4
60	1	59	4
61	2	60	3
62	2	61	3
63	1	62	4
64	1	63	4
65	2	64	3
66	2	65	3
67	1	66	4
68	1	67	4
69	2	68	3
70	2	69	3
71	1	70	4
72	1	71	4
