0	100	20	100	20	90	0	90
20	110	40	110	40	100	20	100
40	120	60	120	60	110	40	110
60	130	80	130	80	120	60	120
0	90	10	90	10	70	0	70
10	90	20	90	20	80	10	80
20	100	30	100	30	80	20	80
30	100	40	100	40	90	30	90
40	110	50	110	50	90	40	90
50	110	60	110	60	100	50	100
60	120	70	120	70	100	60	100
70	120	80	120	80	110	70	110
10	80	30	80	30	70	10	70
30	90	50	90	50	80	30	80
50	100	70	100	70	90	50	90
70	110	90	110	90	100	70	100
10	70	20	70	20	50	10	50
20	70	30	70	30	60	20	60
30	80	40	80	40	60	30	60
40	80	50	80	50	70	40	70
50	90	60	90	60	70	50	70
60	90	70	90	70	80	60	80
70	100	80	100	80	80	70	80
80	100	90	100	90	90	80	90
20	60	40	60	40	50	20	50
40	70	60	70	60	60	40	60
60	80	80	80	80	70	60	70
80	90	100	90	100	80	80	80
20	50	30	50	30	30	20	30
30	50	40	50	40	40	30	40
40	60	50	60	50	40	40	40
50	60	60	60	60	50	50	50
60	70	70	70	70	50	60	50
70	70	80	70	80	60	70	60
80	80	90	80	90	60	80	60
90	80	100	80	100	70	90	70
30	40	50	40	50	30	30	30
50	50	70	50	70	40	50	40
70	60	90	60	90	50	70	50
90	70	110	70	110	60	90	60
30	30	40	30	40	10	30	10
40	30	50	30	50	20	40	20
50	40	60	40	60	20	50	20
60	40	70	40	70	30	60	30
70	50	80	50	80	30	70	30
80	50	90	50	90	40	80	40
90	60	100	60	100	40	90	40
100	60	110	60	110	50	100	50
